"Actie: 10% korting op Cendres & Metaux Dalbo en Loc","https://shop.dentalunion.nl/media/catalog/product/cache/8/small_image/135x/9df78eab33525d08d6e5fb8d27136e95/d/a/dalbo.png","","actie_221","Cendres & Metaux","Nee","Acties"
"Actie: 5 Hu-Friedy instrumenten met gratis cassette","https://shop.dentalunion.nl/media/catalog/product/cache/8/small_image/135x/9df78eab33525d08d6e5fb8d27136e95/w/e/week_2018_hu-friedy_titanium_implant_scalers_webshoppromotie_250-250.jpg","","Actie_220","Hu-Friedy","Nee","Acties"
"Actie: GC Initial LiSi Press 5+1 gratis!","https://shop.dentalunion.nl/media/catalog/product/cache/8/small_image/135x/9df78eab33525d08d6e5fb8d27136e95/i/n/initial-lisi-press_1_1.jpg","","Actie_219","GC","Nee","Acties"
"Actie: HP Sprout Pro met gratis 3D Capture Stage","https://shop.dentalunion.nl/media/catalog/product/cache/8/small_image/135x/9df78eab33525d08d6e5fb8d27136e95/h/p/hp_sprout_1.jpg","","actie_207","HP","N/B","Acties"
"KaVo EXPERTmatic hand- en hoekstukken","https://shop.dentalunion.nl/media/catalog/product/cache/8/small_image/135x/9df78eab33525d08d6e5fb8d27136e95/e/x/expertmatic.png","","Kvemhh","KaVo","N/B","Acties"
"KaVo EXPERTtorque turbines / airrotors","https://shop.dentalunion.nl/media/catalog/product/cache/8/small_image/135x/9df78eab33525d08d6e5fb8d27136e95/e/x/experttorque.jpg","","Kvettb","KaVo","N/B","Acties"
"KaVo MASTERmatic hand- en hoekstukken","https://shop.dentalunion.nl/media/catalog/product/cache/8/small_image/135x/9df78eab33525d08d6e5fb8d27136e95/k/a/kavo_mastermatic.jpg","","Kvmmhh","KaVo","N/B","Acties"
"KaVo MASTERtorque turbines / airrotors","https://shop.dentalunion.nl/media/catalog/product/cache/8/small_image/135x/9df78eab33525d08d6e5fb8d27136e95/k/a/kavo_mastertorque_turbines.jpg","","Kvmttb","KaVo","N/B","Acties"
"Oral-B Genius 9000W","https://shop.dentalunion.nl/media/catalog/product/cache/8/small_image/135x/9df78eab33525d08d6e5fb8d27136e95/o/r/oral-b-genius-9000-s-rose-gold-tandenborstel.png","","ORGW9000","Oral-B","Nee","Acties"
"Sirona T1 Line CLASSIC hand en hoekstukken Lange programma","https://shop.dentalunion.nl/media/catalog/product/cache/8/small_image/135x/9df78eab33525d08d6e5fb8d27136e95/s/i/sirona_t1_classic.jpg","","Sit1cl","Dentsply Sirona","Sit1cl","Acties"
"Sirona T1 Line hand- en hoekstukken Korte programma","https://shop.dentalunion.nl/media/catalog/product/cache/8/small_image/135x/9df78eab33525d08d6e5fb8d27136e95/s/i/sirona_t1_line.jpg","","Sit1li","Dentsply Sirona","Sit1li","Acties"
"Sirona T1 Turbine programma","https://shop.dentalunion.nl/media/catalog/product/cache/8/small_image/135x/9df78eab33525d08d6e5fb8d27136e95/s/i/sirona_turbines_t1.jpg","","St1tur","Dentsply Sirona","St1tur","Acties"
"Sirona T2 Line hand- en hoekstukken","https://shop.dentalunion.nl/media/catalog/product/cache/8/small_image/135x/9df78eab33525d08d6e5fb8d27136e95/s/i/sirona_t2_line.jpg","","Sit2li","Dentsply Sirona","Sit2li","Acties"
"Sirona T2 Turbines","https://shop.dentalunion.nl/media/catalog/product/cache/8/small_image/135x/9df78eab33525d08d6e5fb8d27136e95/s/i/sirona_turbines_t2.jpg","","St2tur","Dentsply Sirona","St2tur","Acties"
"SiroNiti Apex endo hoekstuk kort 115:1","https://shop.dentalunion.nl/media/catalog/product/cache/8/small_image/135x/9df78eab33525d08d6e5fb8d27136e95/s/i/sironiti_apex-p18jf6m362li0198ku011rb71res1.jpg","6174234","197618","Dentsply Sirona","77836","Acties"
"Siroson instrument nr. 4L verpakking 6 stuks","https://shop.dentalunion.nl/media/catalog/product/cache/8/small_image/135x/9df78eab33525d08d6e5fb8d27136e95/n/r/nr.4.png","6541051","244664","Dentsply Sirona","SS6541051","Acties"
"DMG Honigum Mixstar Putty ECO pack 5x380 ml.","https://shop.dentalunion.nl/media/catalog/product/cache/8/small_image/135x/9df78eab33525d08d6e5fb8d27136e95/d/m/dmg_honigum_mixstar_putty_1.jpg","919375","190203","N/B","17784","Afdrukken"
"Virtual Refill 2x50 ml +12 mengtips","https://shop.dentalunion.nl/media/catalog/product/cache/8/small_image/135x/9df78eab33525d08d6e5fb8d27136e95/p/r/product_shots_ps_001_1_1.jpg","","Ivvivi","Ivoclar Vivadent","N/B","Afdrukken"
"3M Aanzettips voor elastomeer afdrukspuit 12st","https://shop.dentalunion.nl/media/catalog/product/cache/8/small_image/135x/9df78eab33525d08d6e5fb8d27136e95/0/9/0931es01_g_2_38.jpg","71225","84655","3M","ESP049","Afdrukken"
"3M Dimension Penta","https://shop.dentalunion.nl/media/catalog/product/cache/8/small_image/135x/9df78eab33525d08d6e5fb8d27136e95/d/i/dim_penta_h_rf_36714.tif_1.jpg","","Dimpen","3M","N/B","Afdrukken"
"3M Elastomeer afdrukspuit compleet","https://shop.dentalunion.nl/media/catalog/product/cache/8/small_image/135x/9df78eab33525d08d6e5fb8d27136e95/3/m/3mespe_afdrukspuit_impregum.jpg","71209","84654","3M","ESP048","Afdrukken"
"3M Elastomeer huls voor de Penta afdrukspuit, verpakking met 10 st.","https://shop.dentalunion.nl/media/catalog/product/cache/8/small_image/135x/9df78eab33525d08d6e5fb8d27136e95/0/9/0931es01_g_2_34.jpg","71200","48940","3M","ESPPTASH","Afdrukken"
"3M Espe elastomeer mengspatel - standaard - per st.","https://shop.dentalunion.nl/media/catalog/product/cache/8/small_image/135x/9df78eab33525d08d6e5fb8d27136e95/0/9/0931es01_g_2_32.jpg","71233","84653","3M","ESP040","Afdrukken"
"3M Espe Garant 2 doseerpistool 1:1 / 2:1","https://shop.dentalunion.nl/media/catalog/product/cache/8/small_image/135x/9df78eab33525d08d6e5fb8d27136e95/3/m/3m_77580_1.jpg","77580","12115","3M","ESPG2D","Afdrukken"
"3M Espe Garant mengtips groen 50st","https://shop.dentalunion.nl/media/catalog/product/cache/8/small_image/135x/9df78eab33525d08d6e5fb8d27136e95/0/9/0931es01_g_2_29.jpg","71450","12111","3M","12111","Afdrukken"
"3M ESPE intra-orale tips Bite 50st","https://shop.dentalunion.nl/media/catalog/product/cache/8/small_image/135x/9df78eab33525d08d6e5fb8d27136e95/7/1/71460.jpg","71460","12239","3M","12239","Afdrukken"
"3M Espe intra-orale tips Garant geel 50st","https://shop.dentalunion.nl/media/catalog/product/cache/8/small_image/135x/9df78eab33525d08d6e5fb8d27136e95/y/e/yellow-intra-oral-tips_src_1.jpg","71462","12114","3M","ESPG2ITG","Afdrukken"
